Date,Rank,Category,Title,Author,Week on List,Description
2021-07-18,1,Combined Print & E-Book Fiction,Once Upon A Time In Hollywood,Quentin Tarantino,1,"A novelization of the film set in 1969, by its director and screenwriter."
2021-07-18,2,Combined Print & E-Book Fiction,The Last Thing He Told Me,Laura Dave,9,Hannah Hall discovers truths about her missing husband and bonds with his daughter from a previous relationship.
2021-07-18,3,Combined Print & E-Book Fiction,Malibu Rising,Taylor Jenkins Reid,5,An epic party has serious outcomes for four famous siblings.
2021-07-18,4,Combined Print & E-Book Fiction,The President'S Daughter,Bill Clinton and James Patterson,4,"Matthew Keating, a past president and former Navy SEAL, goes on his own to find his abducted teenage daughter."
2021-07-18,5,Combined Print & E-Book Fiction,Where The Crawdads Sing,Delia Owens,137,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect."
2021-07-18,1,Combined Print & E-Book Nonfiction,Nightmare Scenario,Yasmeen Abutaleb and Damian Paletta,1,Two Washington Post journalists give an account of the Trump administration’s handling of the Covid-19 pandemic.
2021-07-18,2,Combined Print & E-Book Nonfiction,The Body Keeps The Score,Bessel van der Kolk,45,"How trauma affects the body and mind, and innovative treatments for recovery."
2021-07-18,3,Combined Print & E-Book Nonfiction,(Re)Born In The Usa,Roger Bennett,1,The soccer commentator describes how he embraced American popular culture while growing up in Liverpool.
2021-07-18,4,Combined Print & E-Book Nonfiction,Killing The Mob,Bill O'Reilly and Martin Dugard,9,The 10th book in the conservative commentator’s Killing series looks at organized crime in the United States during the 20th century.
2021-07-18,5,Combined Print & E-Book Nonfiction,Untamed,Glennon Doyle,69,The activist and public speaker describes her journey of listening to her inner voice.
2021-07-18,1,Hardcover Fiction,The Last Thing He Told Me,Laura Dave,9,Hannah Hall discovers truths about her missing husband and bonds with his daughter from a previous relationship.
2021-07-18,2,Hardcover Fiction,Malibu Rising,Taylor Jenkins Reid,5,An epic party has serious outcomes for four famous siblings.
2021-07-18,3,Hardcover Fiction,The President'S Daughter,Bill Clinton and James Patterson,4,"Matthew Keating, a past president and former Navy SEAL, goes on his own to find his abducted teenage daughter."
2021-07-18,4,Hardcover Fiction,The Midnight Library,Matt Haig,31,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.
2021-07-18,5,Hardcover Fiction,Golden Girl,Elin Hilderbrand,5,A Nantucket novelist gets one final summer to watch what happens from the great beyond.
2021-07-18,1,Hardcover Nonfiction,(Re)Born In The Usa,Roger Bennett,1,The soccer commentator describes how he embraced American popular culture while growing up in Liverpool.
2021-07-18,2,Hardcover Nonfiction,Nightmare Scenario,Yasmeen Abutaleb and Damian Paletta,1,Two Washington Post journalists give an account of the Trump administration’s handling of the Covid-19 pandemic.
2021-07-18,3,Hardcover Nonfiction,Killing The Mob,Bill O'Reilly and Martin Dugard,9,The 10th book in the conservative commentator’s Killing series looks at organized crime in the United States during the 20th century.
2021-07-18,4,Hardcover Nonfiction,Untamed,Glennon Doyle,69,The activist and public speaker describes her journey of listening to her inner voice.
2021-07-18,5,Hardcover Nonfiction,Greenlights,Matthew McConaughey,37,The Academy Award-winning actor shares snippets from the diaries he kept over the last 35 years.
2021-07-18,1,Paperback Trade Fiction,Where The Crawdads Sing,Delia Owens,14,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect."
2021-07-18,2,Paperback Trade Fiction,People We Meet On Vacation,Emily Henry,8,Opposites Poppy and Alex meet to vacation together one more time in hopes of saving their relationship.
2021-07-18,3,Paperback Trade Fiction,The Song Of Achilles,Madeline Miller,37,A reimagining of Homer’s “Iliad” that is narrated by Achilles' companion Patroclus.
2021-07-18,4,Paperback Trade Fiction,The Silent Patient,Alex Michaelides,9,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.
2021-07-18,5,Paperback Trade Fiction,The Seven Husbands Of Evelyn Hugo,Taylor Jenkins Reid,17,A movie icon recounts stories of her loves and career to a struggling magazine writer.
2021-07-18,1,Paperback Nonfiction,The Body Keeps The Score,Bessel van der Kolk,141,"How trauma affects the body and mind, and innovative treatments for recovery."
2021-07-18,2,Paperback Nonfiction,Braiding Sweetgrass,Robin Wall Kimmerer,64,A botanist and member of the Citizen Potawatomi Nation espouses having an understanding and appreciation of plants and animals.
2021-07-18,3,Paperback Nonfiction,Born A Crime,Trevor Noah,125,A memoir about growing up biracial in apartheid South Africa by the host of “The Daily Show.”
2021-07-18,4,Paperback Nonfiction,White Fragility,Robin DiAngelo,148,Historical and cultural analyses on what causes defensive moves by white people and how this inhibits cross-racial dialogue.
